time,temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm)
2023-09-21,33.5,20.0,1.30
2023-09-22,36.3,24.5,0.00
2023-09-23,33.5,25.0,0.00
2023-09-24,30.9,21.9,0.00
2023-09-25,27.2,20.9,0.00
2023-09-26,21.8,16.4,1.20
2023-09-27,21.0,13.7,0.00
2023-09-28,21.6,11.9,0.00
2023-09-29,24.5,13.2,0.00
2023-09-30,24.4,14.6,0.00
2023-10-01,26.6,13.6,0.00
2023-10-02,28.2,14.2,0.00
2023-10-03,29.3,17.9,24.30
2023-10-04,22.6,16.8,1.00
2023-10-05,23.0,12.6,0.00
2023-10-06,26.0,15.9,1.30
2023-10-07,26.6,16.7,4.80
2023-10-08,27.4,16.8,0.00
2023-10-09,26.9,14.9,0.00
2023-10-10,33.0,16.5,0.00
2023-10-11,28.6,16.5,38.60
2023-10-12,18.9,12.8,0.30
2023-10-13,21.1,10.6,0.00
2023-10-14,26.5,12.2,0.00
2023-10-15,32.9,17.6,0.00
2023-10-16,40.7,24.9,0.30
2023-10-17,27.3,21.1,6.00
2023-10-18,23.5,19.0,28.30
2023-10-19,22.4,18.6,41.10
2023-10-20,25.5,20.6,5.70
2023-10-21,33.2,22.5,2.40
2023-10-22,38.3,27.5,0.20
2023-10-23,28.8,24.0,20.70
2023-10-24,26.0,21.1,7.30
2023-10-25,25.2,18.9,0.00
2023-10-26,25.5,18.8,0.50
2023-10-27,29.5,19.2,0.20
2023-10-28,28.5,20.9,11.40
2023-10-29,32.9,19.1,0.50
2023-10-30,28.5,21.4,2.00
2023-10-31,28.6,21.1,0.90
2023-11-01,28.2,20.6,1.30
2023-11-02,25.5,19.5,29.20
2023-11-03,20.2,12.9,3.40
2023-11-04,22.5,10.4,0.00
2023-11-05,26.2,14.8,0.00
2023-11-06,32.3,15.9,0.00
2023-11-07,37.3,23.1,0.00
2023-11-08,35.3,24.1,2.70
2023-11-09,29.5,23.9,13.70
2023-11-10,36.0,23.0,1.70
2023-11-11,39.0,31.4,0.60
2023-11-12,41.8,24.4,8.30
2023-11-13,29.0,23.6,14.60
2023-11-14,26.9,22.7,19.20
2023-11-15,29.3,22.0,19.70
2023-11-16,30.1,23.8,1.60
2023-11-17,29.5,22.8,13.10
2023-11-18,29.8,23.5,48.10
2023-11-19,28.6,19.1,0.00
2023-11-20,33.1,20.2,0.00
2023-11-21,34.5,25.0,0.00
2023-11-22,30.9,23.5,0.30
2023-11-23,30.0,20.8,1.90
2023-11-24,27.5,22.0,0.00
2023-11-25,28.9,19.1,0.00
2023-11-26,31.5,22.2,2.80
2023-11-27,26.7,22.7,49.70
2023-11-28,29.8,22.2,1.10
2023-11-29,34.4,23.7,0.70
2023-11-30,30.0,24.0,39.40
2023-12-01,35.3,27.5,0.00
2023-12-02,30.6,22.9,38.00
2023-12-03,27.1,21.4,33.20
2023-12-04,24.6,21.5,5.30
2023-12-05,30.0,20.4,3.90
2023-12-06,30.0,24.4,7.10
2023-12-07,27.8,22.9,64.50
2023-12-08,28.4,19.6,0.00
2023-12-09,30.4,18.6,0.00
2023-12-10,29.1,21.0,0.50
2023-12-11,31.1,18.8,0.00
2023-12-12,34.0,22.9,0.30
2023-12-13,35.9,23.0,12.50
2023-12-14,30.9,24.2,7.00
2023-12-15,33.2,27.5,0.40
2023-12-16,37.2,26.8,0.00
2023-12-17,38.3,29.4,0.00
2023-12-18,32.0,26.1,9.80
2023-12-19,25.8,22.4,17.80
2023-12-20,26.9,21.1,0.70
2023-12-21,29.1,22.2,0.20
2023-12-22,30.7,23.3,5.40
2023-12-23,32.2,23.7,0.60
2023-12-24,31.0,25.0,5.90
2023-12-25,31.6,24.3,34.40
2023-12-26,28.5,20.4,0.00
2023-12-27,29.5,19.4,0.00
2023-12-28,35.6,21.8,0.00
2023-12-29,30.7,22.5,51.10
2023-12-30,30.3,20.9,0.50
2023-12-31,30.2,21.0,0.10
